,ry_rank,name,rating,genre,gross,release_year,primary_genre
168,18,Hotel Transylvania 3: Summer Vacation,PG,"Animation, Adventure, Comedy",167.51,2018,Animation
169,19,Fantastic Beasts: The Crimes of Grindelwald,PG-13,"Adventure, Family, Fantasy",159.56,2018,Adventure
170,20,Halloween,R,"Horror, Thriller",159.34,2018,Horror
171,21,The Meg,PG-13,"Action, Horror, Sci-Fi",143.01,2018,Action
172,22,Ocean's 8,PG-13,"Action, Comedy, Crime",140.22,2018,Action
173,23,Ready Player One,PG-13,"Action, Adventure, Sci-Fi",137.69,2018,Action
174,24,Bumblebee,PG-13,"Action, Adventure, Sci-Fi",127.2,2018,Action
175,25,Mamma Mia! Here We Go Again,PG-13,"Comedy, Musical, Romance",120.63,2018,Comedy
176,26,The Nun,R,"Horror, Mystery, Thriller",117.45,2018,Horror
177,27,Creed II,PG-13,"Drama, Sport",115.72,2018,Drama
178,28,Peter Rabbit,PG,"Animation, Adventure, Comedy",115.25,2018,Animation
179,29,The Mule,R,"Crime, Drama, Thriller",103.8,2018,Crime
180,30,The Equalizer 2,R,"Action, Crime, Thriller",102.08,2018,Action
181,31,Rampage,PG-13,"Action, Adventure, Sci-Fi",101.03,2018,Action
182,32,A Wrinkle in Time,PG,"Adventure, Family, Fantasy",100.48,2018,Adventure
183,33,Fifty Shades Freed,R,"Drama, Romance, Thriller",100.41,2018,Drama
184,34,Christopher Robin,PG,"Adventure, Comedy, Drama",99.22,2018,Adventure
185,35,Green Book,PG-13,"Biography, Comedy, Drama",85.08,2018,Biography
186,36,I Can Only Imagine,PG,"Biography, Drama, Family",83.48,2018,Biography
187,37,Smallfoot,PG,"Animation, Adventure, Comedy",83.24,2018,Animation
188,38,Night School,PG-13,Comedy,77.34,2018,Comedy
189,39,The First Purge,R,"Action, Horror, Sci-Fi",69.49,2018,Action
190,40,Game Night,R,"Action, Comedy, Crime",69.18,2018,Action
191,41,Book Club,PG-13,"Comedy, Drama, Romance",68.57,2018,Comedy
192,42,The House with a Clock in Its Walls,PG,"Comedy, Fantasy, Horror",68.55,2018,Comedy
193,43,Skyscraper,PG-13,"Action, Adventure, Thriller",68.42,2018,Action
194,44,Insidious: The Last Key,PG-13,"Horror, Mystery, Thriller",67.75,2018,Horror
195,45,Instant Family,PG-13,"Comedy, Drama",67.36,2018,Comedy
196,46,Pacific Rim: Uprising,PG-13,"Action, Adventure, Sci-Fi",59.87,2018,Action
197,47,Blockers,R,Comedy,59.84,2018,Comedy
198,48,Tomb Raider,PG-13,"Action, Adventure, Fantasy",58.25,2018,Action
199,49,Maze Runner: The Death Cure,PG-13,"Action, Sci-Fi, Thriller",58.03,2018,Action
200,0,Avengers: Endgame,PG-13,"Action, Adventure, Drama",858.37,2019,Action
201,1,The Lion King,PG,"Animation, Adventure, Drama",540.08,2019,Animation
202,2,Toy Story 4,G,"Animation, Adventure, Comedy",433.03,2019,Animation
203,3,Captain Marvel,PG-13,"Action, Adventure, Sci-Fi",426.83,2019,Action
204,4,Spider-Man: Far from Home,PG-13,"Action, Adventure, Sci-Fi",388.53,2019,Action
205,5,Aladdin,PG,"Adventure, Family, Fantasy",354.87,2019,Adventure
206,6,It Chapter Two,R,"Drama, Fantasy, Horror",193.77,2019,Drama
207,7,Joker,R,"Crime, Drama, Thriller",192.73,2019,Crime
208,8,Us,R,"Horror, Mystery, Thriller",175.01,2019,Horror
209,9,John Wick: Chapter 3 - Parabellum,R,"Action, Crime, Thriller",171.02,2019,Action
210,10,Fast & Furious Presents: Hobbs & Shaw,PG-13,"Action, Adventure",165.55,2019,Action
211,11,How to Train Your Dragon: The Hidden World,PG,"Animation, Action, Adventure",160.8,2019,Animation
212,12,The Secret Life of Pets 2,PG,"Animation, Adventure, Comedy",158.14,2019,Animation
213,13,Pokémon Detective Pikachu,PG,"Action, Adventure, Comedy",144.11,2019,Action
214,14,Shazam!,PG-13,"Action, Adventure, Comedy",140.37,2019,Action
215,15,Once Upon a Time ... in Hollywood,R,"Comedy, Drama",135.37,2019,Comedy
216,16,Dumbo,PG,"Adventure, Family, Fantasy",114.77,2019,Adventure
217,17,Glass,PG-13,"Drama, Sci-Fi, Thriller",111.04,2019,Drama
218,18,Godzilla: King of the Monsters,PG-13,"Action, Adventure, Fantasy",110.5,2019,Action
219,19,The Lego Movie 2: The Second Part,PG,"Animation, Action, Adventure",105.81,2019,Animation
220,20,Rocketman,R,"Biography, Drama, Music",96.37,2019,Biography
221,21,Alita: Battle Angel,PG-13,"Action, Adventure, Sci-Fi",85.71,2019,Action
222,22,Hustlers,R,"Comedy, Crime, Drama",80.55,2019,Comedy
223,23,Men in Black: International,PG-13,"Action, Adventure, Comedy",79.8,2019,Action
224,24,Annabelle Comes Home,R,"Horror, Mystery, Thriller",73.65,2019,Horror
225,25,Yesterday,PG-13,"Comedy, Fantasy, Music",73.29,2019,Comedy
226,26,Tyler Perry's A Madea Family Funeral,PG-13,Comedy,73.26,2019,Comedy
227,27,Good Boys,R,"Adventure, Comedy",69.06,2019,Adventure
228,28,Angel Has Fallen,R,"Action, Thriller",67.16,2019,Action
229,29,Dark Phoenix,PG-13,"Action, Adventure, Sci-Fi",65.85,2019,Action
230,30,Scary Stories to Tell in the Dark,PG-13,"Horror, Mystery, Thriller",62.74,2019,Horror
231,31,Escape Room,PG-13,"Action, Adventure, Horror",57.01,2019,Action
232,32,Dora and the Lost City of Gold,PG,"Adventure, Family",54.89,2019,Adventure
233,33,The Curse of La Llorona,R,"Horror, Mystery, Thriller",54.73,2019,Horror
234,34,Pet Sematary,R,"Horror, Mystery, Thriller",54.72,2019,Horror
235,35,What Men Want,R,"Comedy, Fantasy, Romance",54.61,2019,Comedy
236,36,Isn't It Romantic,PG-13,"Comedy, Fantasy, Romance",48.79,2019,Comedy
237,37,Five Feet Apart,PG-13,"Drama, Romance",45.73,2019,Drama
238,38,Ma,R,"Horror, Thriller",45.37,2019,Horror
239,39,Wonder Park,PG,"Animation, Adventure, Comedy",45.22,2019,Animation
240,40,A Dog's Way Home,PG,"Adventure, Drama, Family",41.95,2019,Adventure
241,41,Breakthrough,PG,"Biography, Drama",40.71,2019,Biography
242,42,Little,PG-13,"Comedy, Fantasy, Romance",40.67,2019,Comedy
243,43,Crawl,R,"Action, Drama, Horror",39.01,2019,Action
244,44,The Angry Birds Movie 2,PG,"Animation, Adventure, Comedy",38.44,2019,Animation
245,45,Maleficent: Mistress of Evil,PG,"Adventure, Family, Fantasy",36.95,2019,Adventure
246,46,The Intruder,PG-13,"Drama, Horror, Mystery",35.42,2019,Drama
247,47,The Hustle,PG-13,"Comedy, Crime",35.42,2019,Comedy
248,48,Ad Astra,PG-13,"Adventure, Drama, Mystery",35.4,2019,Adventure
249,49,Cold Pursuit,R,"Action, Crime, Drama",32.14,2019,Action
