,name,rating,genre,gross,release_year
42,Tower Heist,PG-13,"Action, Comedy, Crime",78.05,2011
43,The Adventures of Tintin,PG,"Animation, Action, Adventure",77.59,2011
44,Contagion,PG-13,"Action, Drama, Thriller",75.66,2011
45,We Bought a Zoo,PG,"Comedy, Drama, Family",75.62,2011
46,Moneyball,PG-13,"Biography, Drama, Sport",75.61,2011
47,Jack and Jill,PG,Comedy,74.16,2011
48,Hugo,PG,"Drama, Family, Fantasy",73.86,2011
49,Justin Bieber: Never Say Never,G,"Documentary, Music",73.01,2011
50,Dolphin Tale,PG,"Drama, Family",72.29,2011
1,The Avengers,PG-13,"Action, Adventure, Sci-Fi",623.28,2012
2,The Dark Knight Rises,PG-13,"Action, Thriller",448.14,2012
3,The Hunger Games,PG-13,"Action, Adventure, Sci-Fi",408.01,2012
4,Skyfall,PG-13,"Action, Adventure, Thriller",304.36,2012
5,The Hobbit: An Unexpected Journey,PG-13,"Adventure, Family, Fantasy",303.0,2012
6,The Twilight Saga: Breaking Dawn - Part 2,PG-13,"Adventure, Drama, Fantasy",292.3,2012
7,The Amazing Spider-Man,PG-13,"Action, Sci-Fi",262.03,2012
8,Brave,PG,"Animation, Adventure, Comedy",237.28,2012
9,Ted,R,Comedy,218.82,2012
10,Madagascar 3: Europe's Most Wanted,PG,"Animation, Adventure, Comedy",216.39,2012
11,The Lorax,PG,"Animation, Adventure, Drama",214.03,2012
12,Wreck-It Ralph,PG,"Animation, Adventure, Comedy",189.42,2012
13,Lincoln,PG-13,"Biography, Drama, History",182.21,2012
14,Men in Black 3,PG-13,"Action, Adventure, Comedy",179.02,2012
15,Django Unchained,R,"Drama, Western",162.81,2012
16,Ice Age: Continental Drift,PG,"Animation, Adventure, Comedy",161.32,2012
17,Snow White and the Huntsman,PG-13,"Action, Adventure, Drama",155.33,2012
18,Les Misérables,PG-13,"Drama, History, Musical",148.81,2012
19,Hotel Transylvania,PG,"Animation, Comedy, Family",148.31,2012
20,Taken 2,PG-13,"Action, Thriller",139.85,2012
21,21 Jump Street,R,"Action, Comedy, Crime",138.45,2012
22,Argo,R,"Biography, Drama, Thriller",136.03,2012
23,Silver Linings Playbook,R,"Comedy, Drama, Romance",132.09,2012
24,Prometheus,R,"Adventure, Mystery, Sci-Fi",126.48,2012
25,Safe House,R,"Action, Thriller",126.37,2012
26,The Vow,PG-13,"Drama, Romance",125.01,2012
27,Life of Pi,PG,"Adventure, Drama, Fantasy",124.99,2012
28,Magic Mike,R,"Comedy, Drama",113.72,2012
29,The Bourne Legacy,PG-13,"Action, Adventure, Thriller",113.2,2012
30,Journey 2: The Mysterious Island,PG,"Action, Adventure, Comedy",103.86,2012
31,Rise of the Guardians,PG,"Animation, Action, Adventure",103.41,2012
32,Zero Dark Thirty,R,"Drama, Thriller",95.72,2012
33,Flight,R,"Drama, Thriller",93.77,2012
34,Think Like a Man,PG-13,"Comedy, Romance",91.55,2012
