,name,genre,gross,rating,release_year
32,Alvin and the Chipmunks: The Road Chip,"Animation, Adventure, Comedy",85.89,PG,2015
33,Maze Runner: The Scorch Trials,"Action, Sci-Fi, Thriller",81.7,PG-13,2015
34,Ted 2,Comedy,81.48,R,2015
35,Goosebumps,"Adventure, Comedy, Family",80.08,PG,2015
36,Pixels,"Action, Comedy, Sci-Fi",78.75,PG-13,2015
37,The Intern,"Comedy, Drama",75.76,PG-13,2015
38,Bridge of Spies,"Drama, History, Thriller",72.31,PG-13,2015
39,Paul Blart: Mall Cop 2,"Action, Comedy, Crime",71.04,PG,2015
40,The Big Short,"Biography, Comedy, Drama",70.26,R,2015
41,War Room,Drama,67.79,PG,2015
42,Magic Mike XXL,"Comedy, Drama, Music",66.01,R,2015
43,The Visit,"Horror, Mystery, Thriller",65.21,PG-13,2015
44,The Wedding Ringer,Comedy,64.46,R,2015
45,Black Mass,"Biography, Crime, Drama",62.58,R,2015
46,Vacation,"Adventure, Comedy",58.88,R,2015
47,The Perfect Guy,"Crime, Drama, Horror",57.02,PG-13,2015
48,Joy,Drama,56.45,PG-13,2015
49,Fantastic Four,"Action, Adventure, Drama",56.12,PG-13,2015
0,Rogue One: A Star Wars Story,"Action, Adventure, Sci-Fi",532.18,PG-13,2016
1,Finding Dory,"Animation, Adventure, Comedy",486.3,PG,2016
2,Captain America: Civil War,"Action, Adventure, Sci-Fi",408.08,PG-13,2016
3,The Secret Life of Pets,"Animation, Adventure, Comedy",368.38,PG,2016
4,The Jungle Book,"Adventure, Drama, Family",364.0,PG,2016
5,Deadpool,"Action, Adventure, Comedy",363.07,R,2016
6,Zootopia,"Animation, Adventure, Comedy",341.27,PG,2016
7,Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi",330.36,PG-13,2016
8,Suicide Squad,"Action, Adventure, Fantasy",325.1,PG-13,2016
9,Sing,"Animation, Comedy, Family",270.4,PG,2016
10,Moana,"Animation, Adventure, Comedy",248.76,PG,2016
11,Fantastic Beasts and Where to Find Them,"Adventure, Family, Fantasy",234.04,PG-13,2016
12,Doctor Strange,"Action, Adventure, Fantasy",232.64,PG-13,2016
13,Hidden Figures,"Biography, Drama, History",169.61,PG,2016
14,Jason Bourne,"Action, Thriller",162.43,PG-13,2016
15,Star Trek Beyond,"Action, Adventure, Sci-Fi",158.85,PG-13,2016
16,X-Men: Apocalypse,"Action, Adventure, Sci-Fi",155.44,PG-13,2016
17,Trolls,"Animation, Adventure, Comedy",153.71,PG,2016
18,La La Land,"Comedy, Drama, Music",151.1,PG-13,2016
19,Kung Fu Panda 3,"Animation, Action, Adventure",143.53,PG,2016
20,Split,"Horror, Thriller",138.29,PG-13,2016
21,Ghostbusters,"Action, Comedy, Fantasy",128.34,PG-13,2016
22,Central Intelligence,"Action, Comedy, Crime",127.44,PG-13,2016
23,The Legend of Tarzan,"Action, Adventure, Drama",126.64,PG-13,2016
24,Sully,"Biography, Drama",125.07,PG-13,2016
25,Bad Moms,Comedy,113.26,R,2016
26,Angry Birds,"Animation, Action, Comedy",107.51,PG,2016
27,Independence Day: Resurgence,"Action, Adventure, Sci-Fi",103.14,PG-13,2016
28,The Conjuring 2,"Horror, Mystery, Thriller",102.47,R,2016
29,Arrival,"Drama, Mystery, Sci-Fi",100.55,PG-13,2016
30,Passengers,"Drama, Romance, Sci-Fi",100.01,PG-13,2016
31,Sausage Party,"Animation, Adventure, Comedy",97.69,R,2016
32,The Magnificent Seven,"Action, Adventure, Western",93.43,PG-13,2016
33,Ride Along 2,"Action, Comedy, Crime",91.22,PG-13,2016
34,Don't Breathe,"Crime, Horror, Thriller",89.22,R,2016
35,Miss Peregrine's Home for Peculiar Children,"Adventure, Drama, Fantasy",87.24,PG-13,2016
36,The Accountant,"Action, Crime, Drama",86.26,R,2016
37,Teenage Mutant Ninja Turtles: Out of the Shadows,"Action, Adventure, Comedy",82.05,PG-13,2016
